,State,District,State-District,Center,"House Science, Space and Technology Committee",House Space and Aeronautics Subcommittee,House CJS,HouseCommitties,Award,Zip,Center_Abbreviation,Center_Name,NatLog_Award,Log10_Award
85,CT,5,CT-5,0.0,0.0,0.0,0.0,0.0,12655.183,0.0,,,9.445822133562146,4.10226842964564
86,DE,0,DE-0,0.0,0.0,0.0,0.0,0.0,43526.43700000001,0.0,,,10.68112377959972,4.638753118005763
87,FL,1,FL-1,0.0,0.0,0.0,0.0,0.0,17954.802,0.0,,,9.795612879030458,4.254180620223353
88,FL,2,FL-2,0.0,0.0,0.0,0.0,0.0,107185.429,0.0,,,11.58231559487294,5.030135750515297
89,FL,3,FL-3,0.0,0.0,0.0,0.0,0.0,33476.599999999984,0.0,,,10.41860196628047,4.524741343101978
90,FL,4,FL-4,0.0,0.0,0.0,0.0,0.0,10657.861,0.0,,,9.274053020925182,4.027670051865989
91,FL,5,FL-5,0.0,0.0,0.0,0.0,0.0,593.7849999999999,0.0,,,6.386517300979944,2.773629222395239
92,FL,6,FL-6,0.0,1.0,1.0,0.0,2.0,6213.130999999999,0.0,,,8.73442023466356,3.7933105105384897
93,FL,7,FL-7,0.0,0.0,0.0,0.0,0.0,49840.50000000001,0.0,,,10.816583185513743,4.697582390516116
94,FL,8,FL-8,1.0,1.0,1.0,0.0,2.0,7691418.025999999,32815.0,KSC,Kennedy Space Flight Center,15.855615723182085,6.886006415756418
95,FL,9,FL-9,0.0,0.0,0.0,0.0,0.0,253.40200000000002,0.0,,,5.5349771605157185,2.4038100382725056
96,FL,10,FL-10,0.0,0.0,0.0,0.0,0.0,3086.373,0.0,,,8.034751894057212,3.4894484110507484
97,FL,11,FL-11,0.0,0.0,0.0,0.0,0.0,27.997,0.0,,,3.3320973615778553,1.4471114972976469
98,FL,12,FL-12,0.0,0.0,0.0,0.0,0.0,144.06799999999996,0.0,,,4.970285410336397,2.158567527193337
99,FL,13,FL-13,0.0,1.0,1.0,1.0,3.0,2153.831,0.0,,,7.675003395956768,3.3332116234527427
100,FL,14,FL-14,0.0,0.0,0.0,0.0,0.0,19360.247,0.0,,,9.870977119013645,4.286910893780885
101,FL,15,FL-15,0.0,0.0,0.0,0.0,0.0,195169.201,0.0,,,12.181622158749983,5.290411284175495
102,FL,16,FL-16,0.0,0.0,0.0,0.0,0.0,942.323,0.0,,,6.848348103277348,2.9741997914059533
103,FL,17,FL-17,0.0,0.0,0.0,0.0,0.0,40.727,0.0,,,3.706891263165622,1.6098824206082045
104,FL,18,FL-18,0.0,0.0,0.0,0.0,0.0,206294.905,0.0,,,12.237062001711225,5.314488502051146
105,FL,19,FL-19,0.0,1.0,0.0,0.0,1.0,508.17,0.0,,,6.2308160372664005,2.706009022739084
106,FL,20,FL-20,0.0,0.0,0.0,0.0,0.0,5135.062000000003,0.0,,,8.543847196291717,3.7105456915740618
107,FL,21,FL-21,0.0,0.0,0.0,0.0,0.0,421.87,0.0,,,6.044697209704709,2.6251786429507384
108,FL,22,FL-22,0.0,0.0,0.0,0.0,0.0,11333.433,0.0,,,9.335512309009168,4.054361481542567
109,FL,23,FL-23,0.0,0.0,0.0,0.0,0.0,2131.37,0.0,,,7.664520244432098,3.328658848592623
110,FL,24,FL-24,0.0,0.0,0.0,0.0,0.0,1545.336,0.0,,,7.342996641415583,3.1890229220008988
111,FL,25,FL-25,0.0,0.0,0.0,0.0,0.0,454.5870000000001,0.0,,,6.1193893144411415,2.657617011879511
112,FL,26,FL-26,0.0,0.0,0.0,0.0,0.0,7567.84,0.0,,,8.931662968859177,3.8789719415951565
113,FL,27,FL-27,0.0,0.0,0.0,0.0,0.0,21279.598,0.0,,,9.9655040522997,4.327963419298255
114,GA,1,GA-1,0.0,0.0,0.0,0.0,0.0,514.2769999999998,0.0,,,6.242762030800884,2.7111971018119623
115,GA,2,GA-2,0.0,0.0,0.0,0.0,0.0,324.996,0.0,,,5.78381287456169,2.5118780157831266
116,GA,3,GA-3,0.0,0.0,0.0,0.0,0.0,202.533,0.0,,,5.310902836232535,2.3064957957001195
117,GA,4,GA-4,0.0,0.0,0.0,0.0,0.0,124.565,0.0,,,4.824827668017469,2.0953960323541216
